district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Banjara hills,Banjara hills,AMEERPET,Sri krishna nagar,CT METERS-GRC,domestic,1,40,40.0,17226,306.48
Banjara hills,Banjara hills,AMEERPET,Sri krishna nagar,CT METERS-GRC,non-domestic and commercial,2,12,12.0,3926,422.0
Banjara hills,Banjara hills,AMEERPET,Sri krishna nagar,CT METERS-GRC,general purpose,7,1,1.0,583,56.0
Banjara hills,Banjara hills,AMEERPET,Sri krishna nagar,GRC - NON CT METERS,domestic,1,54,54.0,18543,334.0
Banjara hills,Banjara hills,AMEERPET,Sri krishna nagar,GRC - NON CT METERS,non-domestic and commercial,2,4,4.0,1559,29.0
Banjara hills,Banjara hills,AMEERPET,Yella reddy guda,GRC HIGH VALUES,domestic,1,8,8.0,12647,275.2
Banjara hills,Banjara hills,AMEERPET,Yella reddy guda,GRC HIGH VALUES,non-domestic and commercial,2,3,3.0,1412,123.0
Banjara hills,Banjara hills,AMEERPET,Yella reddy guda,GRC- NON - C.T.  METERS,domestic,1,71,71.0,21953,408.0
Banjara hills,Banjara hills,AMEERPET,Yella reddy guda,GRC- NON - C.T.  METERS,non-domestic and commercial,2,21,21.0,5180,185.0
Banjara hills,Banjara hills,AMEERPET,Yousufguda,CT METERS & NET METERS,domestic,1,35,35.0,18230,1066.0
Banjara hills,Banjara hills,AMEERPET,Yousufguda,CT METERS & NET METERS,non-domestic and commercial,2,3,3.0,2577,124.0
Banjara hills,Banjara hills,AMEERPET,Yousufguda,GRC HIGH VALUES,domestic,1,118,118.0,34746,769.0
Banjara hills,Banjara hills,AMEERPET,Yousufguda,GRC HIGH VALUES,non-domestic and commercial,2,2,2.0,0,16.5
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HT DOMESTIC,domestic,1,3,3.0,2932,260.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HV ROAD NO 2 AND 3,domestic,1,65,65.0,26751,673.13
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HV ROAD NO 2 AND 3,non-domestic and commercial,2,22,22.0,8545,485.03
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HV ROAD NO 2 AND 3,general purpose,7,2,2.0,1119,51.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,"HV ROAD NO 2,3,AND14",domestic,1,60,60.0,23560,694.24
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,"HV ROAD NO 2,3,AND14",non-domestic and commercial,2,13,13.0,7915,284.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,"HV ROAD NO 7,8,9,10 AND 11",domestic,1,93,93.0,38800,1188.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,"HV ROAD NO 7,8,9,10 AND 11",non-domestic and commercial,2,11,11.0,4861,240.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,"HV ROAD NO 7,8,9,10 AND 11",general purpose,7,1,1.0,190,5.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HV ROAD NO-4-5-6,domestic,1,32,32.0,11323,384.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,HV ROAD NO-4-5-6,non-domestic and commercial,2,2,2.0,452,35.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,NAGARJUNA HILLS AND PANJAGUTTA,domestic,1,17,17.0,7543,387.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,NAGARJUNA HILLS AND PANJAGUTTA,non-domestic and commercial,2,15,15.0,4579,318.0
Banjara hills,Banjara hills,BANJARA HILLS,Banjara hills,NAGARJUNA HILLS AND PANJAGUTTA,general purpose,7,1,1.0,30,68.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,"CHURCH GULLY,MLA COLONY,APOLO",domestic,1,88,88.0,37298,957.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,"CHURCH GULLY,MLA COLONY,APOLO",non-domestic and commercial,2,6,6.0,2309,89.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,"CHURCH GULLY,MLA COLONY,APOLO",general purpose,7,1,1.0,256,12.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GOVT SERVICES,non-domestic and commercial,2,1,1.0,0,10.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GOVT SERVICES,general purpose,7,2,2.0,80,18.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC HIGH VALUES RDNO-12&13 BAN,domestic,1,119,119.0,46288,1505.27
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC HIGH VALUES RDNO-12&13 BAN,non-domestic and commercial,2,19,19.0,6561,343.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC HIGH VALUES RDNO-12&13 BAN,general purpose,7,3,3.0,3587,200.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC-JUBILEE HILLS &FILM NAGAR ,domestic,1,159,159.0,64124,2105.9
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC-JUBILEE HILLS &FILM NAGAR ,non-domestic and commercial,2,11,11.0,3503,344.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,GRC-JUBILEE HILLS &FILM NAGAR ,temporary supply,8,1,1.0,623,25.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,HT DOMESTIC,domestic,1,2,2.0,1040,280.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,NANDAGIRIHILLS GRC,domestic,1,59,59.0,32940,1073.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,NANDAGIRIHILLS GRC,non-domestic and commercial,2,2,2.0,790,42.0
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,TTD,domestic,1,52,52.0,23204,626.8
Banjara hills,Banjara hills,BANJARA HILLS,Film nagar,TTD,non-domestic and commercial,2,3,3.0,674,44.0
Banjara hills,Banjara hills,JUBILEE HILLS,Jubilee hills,DOMESTIC HT,domestic,1,19,19.0,8402,3105.0
Banjara hills,Banjara hills,JUBILEE HILLS,Jubilee hills,GRC HIGH VALUES,domestic,1,180,180.0,78178,3061.09
